Acceptance Probability
Layer: 0, Bt :3.2908, At: 1, Delta_E: 119.852, Acceptance Probability: 8.88996e-53, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 35.9164, Acceptance Probability: 2.52176e-16, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 5.34344, Acceptance Probability: 0.00477941, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 81.8746, Acceptance Probability: 2.76895e-36, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 78.4728, Acceptance Probability: 8.31182e-35, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 14.1626, Acceptance Probability: 7.06726e-07, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 20.5286, Acceptance Probability: 9.66191e-11, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 44.4601, Acceptance Probability: 2.04164e-22, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 27.1477, Acceptance Probability: 5.70009e-14, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 27.2427, Acceptance Probability: 5.12339e-14, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 57.5246, Acceptance Probability: 8.63837e-29, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 60.8912, Acceptance Probability: 1.96807e-30, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 24.3129, Acceptance Probability: 1.37685e-12, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 56.0929, Acceptance Probability: 4.3143e-28, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 83.7663, Acceptance Probability: 1.36246e-41, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: -38.8354, Acceptance Probability: 8.83051e+18, Is Accepted:1
Layer: 0, Bt :3.86112, At: 1, Delta_E: 3.73063, Acceptance Probability: 0.0151355, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 40.8213, Acceptance Probability: 1.21673e-20, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 20.5617, Acceptance Probability: 9.30914e-11, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 92.9931, Acceptance Probability: 4.29543e-46, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 20.0361, Acceptance Probability: 1.68013e-10, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 94.8616, Acceptance Probability: 5.2657e-47, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 38.7101, Acceptance Probability: 1.30365e-19, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 4.15267, Acceptance Probability: 0.0094212, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 67.6074, Acceptance Probability: 1.04114e-33, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 20.3193, Acceptance Probability: 1.22229e-10, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 66.5855, Acceptance Probability: 3.28128e-33, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 43.5491, Acceptance Probability: 5.68091e-22, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 130.228, Acceptance Probability: 2.93597e-64, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 14.9318, Acceptance Probability: 5.19356e-08, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 12.2512, Acceptance Probability: 1.05487e-06, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 51.6274, Acceptance Probability: 6.50739e-26, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 28.7342, Acceptance Probability: 9.59186e-15, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: -8, Acceptance Probability: 7995.17, Is Accepted:1
Layer: 0, Bt :3.86112, At: 1, Delta_E: 114.581, Acceptance Probability: 1.26258e-56, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 129.752, Acceptance Probability: 5.01251e-64, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 21.4038, Acceptance Probability: 3.61478e-11, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: -12.4909, Acceptance Probability: 1.24087e+06, Is Accepted:1
Layer: 0, Bt :3.86112, At: 1, Delta_E: -0.550953, Acceptance Probability: 1.85688, Is Accepted:1
Layer: 0, Bt :3.86112, At: 1, Delta_E: 11.8896, Acceptance Probability: 1.58345e-06, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 51.4716, Acceptance Probability: 7.75166e-26, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 15.4134, Acceptance Probability: 3.02353e-08, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 7.93769, Acceptance Probability: 0.000134144, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: -2.17072, Acceptance Probability: 11.4549, Is Accepted:1
Layer: 0, Bt :3.86112, At: 1, Delta_E: 19.0312, Acceptance Probability: 5.19473e-10, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 42.4154, Acceptance Probability: 2.02993e-21, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 16.0242, Acceptance Probability: 1.52248e-08, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 10.9506, Acceptance Probability: 4.54672e-06, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 158.932, Acceptance Probability: 2.91299e-78, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 51.9488, Acceptance Probability: 4.53512e-26, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 27.347, Acceptance Probability: 4.55699e-14, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 83.663, Acceptance Probability: 1.5301e-41, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 78.8229, Acceptance Probability: 3.51558e-39, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 85.2968, Acceptance Probability: 2.44159e-42, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 48.5853, Acceptance Probability: 1.98377e-24, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 26.3953, Acceptance Probability: 1.32731e-13, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 27.9143, Acceptance Probability: 2.4093e-14, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 112.319, Acceptance Probability: 1.60331e-55, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 31.7637, Acceptance Probability: 3.19124e-16, Is Accepted:0
