Acceptance Probability
Layer: 0, Bt :0.0455739, At: 1, Delta_E: 5.52467, Acceptance Probability: 4.73005e-18, Is Accepted:0
Layer: 0, Bt :0.0405706, At: 1, Delta_E: 3.36958, Acceptance Probability: 1.34899e-12, Is Accepted:0
Layer: 0, Bt :0.0405706, At: 1, Delta_E: 4.87041, Acceptance Probability: 6.96639e-18, Is Accepted:0
Layer: 0, Bt :0.0405706, At: 1, Delta_E: 7.18535, Acceptance Probability: 4.87761e-26, Is Accepted:0
Layer: 0, Bt :0.0405706, At: 1, Delta_E: -1.25361, Acceptance Probability: 26066.7, Is Accepted:1
Layer: 0, Bt :0.0405706, At: 1, Delta_E: -3.9573, Acceptance Probability: 8.71692e+13, Is Accepted:1
Layer: 0, Bt :0.0405706, At: 1, Delta_E: 0.761268, Acceptance Probability: 0.00208106, Is Accepted:0
Layer: 0, Bt :0.0405706, At: 1, Delta_E: 16.6543, Acceptance Probability: 2.14688e-59, Is Accepted:0
Layer: 0, Bt :0.0405706, At: 1, Delta_E: 5.84187, Acceptance Probability: 2.6355e-21, Is Accepted:0
Layer: 0, Bt :0.0405706, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :0.0405706, At: 1, Delta_E: 3.84373, Acceptance Probability: 2.88216e-14, Is Accepted:0
Layer: 0, Bt :0.0361165, At: 1, Delta_E: 5.50511, Acceptance Probability: 1.64268e-22, Is Accepted:0
Layer: 0, Bt :0.0361165, At: 1, Delta_E: 4.33434, Acceptance Probability: 7.05453e-18, Is Accepted:0
Layer: 0, Bt :0.0361165, At: 1, Delta_E: 3.01305, Acceptance Probability: 1.19386e-12, Is Accepted:0
Layer: 0, Bt :0.0361165, At: 1, Delta_E: -2.64909, Acceptance Probability: 3.03957e+10, Is Accepted:1
Layer: 0, Bt :0.0361165, At: 1, Delta_E: 1.06056, Acceptance Probability: 6.35652e-05, Is Accepted:0
Layer: 0, Bt :0.0361165, At: 1, Delta_E: 3.52759, Acceptance Probability: 1.09864e-14, Is Accepted:0
Layer: 0, Bt :0.0361165, At: 1, Delta_E: 12.2607, Acceptance Probability: 3.03927e-49, Is Accepted:0
Layer: 0, Bt :0.0361165, At: 1, Delta_E: 0.716242, Acceptance Probability: 0.00146467, Is Accepted:0
Layer: 0, Bt :0.0361165, At: 1, Delta_E: 2.81836, Acceptance Probability: 7.03688e-12, Is Accepted:0
Layer: 0, Bt :0.0361165, At: 1, Delta_E: 8.86515, Acceptance Probability: 8.30685e-36, Is Accepted:0
Layer: 0, Bt :0.0321515, At: 1, Delta_E: 5.49807, Acceptance Probability: 3.63335e-25, Is Accepted:0
Layer: 0, Bt :0.0321515, At: 1, Delta_E: 2.36284, Acceptance Probability: 3.13934e-11, Is Accepted:0
Layer: 0, Bt :0.0321515, At: 1, Delta_E: 9.47392, Acceptance Probability: 7.71113e-43, Is Accepted:0
Layer: 0, Bt :0.0321515, At: 1, Delta_E: 3.28015, Acceptance Probability: 2.62601e-15, Is Accepted:0
Layer: 0, Bt :0.0321515, At: 1, Delta_E: -2.41372, Acceptance Probability: 5.3618e+10, Is Accepted:1
Layer: 0, Bt :0.0321515, At: 1, Delta_E: -0.048507, Acceptance Probability: 1.64294, Is Accepted:1
Layer: 0, Bt :0.0321515, At: 1, Delta_E: 7.16927, Acceptance Probability: 1.35394e-32, Is Accepted:0
Layer: 0, Bt :0.0321515, At: 1, Delta_E: 3.91468, Acceptance Probability: 3.9692e-18, Is Accepted:0
Layer: 0, Bt :0.0321515, At: 1, Delta_E: -3.35756, Acceptance Probability: 8.41025e+14, Is Accepted:1
Layer: 0, Bt :0.0321515, At: 1, Delta_E: -0.765941, Acceptance Probability: 2539.3, Is Accepted:1
Layer: 0, Bt :0.0286217, At: 1, Delta_E: 6.06596, Acceptance Probability: 5.1361e-31, Is Accepted:0
Layer: 0, Bt :0.0286217, At: 1, Delta_E: 6.06596, Acceptance Probability: 5.1361e-31, Is Accepted:0
Layer: 0, Bt :0.0286217, At: 1, Delta_E: -0.521449, Acceptance Probability: 401.578, Is Accepted:1
Layer: 0, Bt :0.0286217, At: 1, Delta_E: -7.5021, Acceptance Probability: 2.88726e+37, Is Accepted:1
Layer: 0, Bt :0.0286217, At: 1, Delta_E: -0.733825, Acceptance Probability: 4615.64, Is Accepted:1
Layer: 0, Bt :0.0286217, At: 1, Delta_E: 0.776998, Acceptance Probability: 0.000131884, Is Accepted:0
Layer: 0, Bt :0.0286217, At: 1, Delta_E: 3.08435, Acceptance Probability: 3.97006e-16, Is Accepted:0
Layer: 0, Bt :0.0286217, At: 1, Delta_E: -5.21039, Acceptance Probability: 1.04041e+26, Is Accepted:1
Layer: 0, Bt :0.0286217, At: 1, Delta_E: 9.32869, Acceptance Probability: 2.62263e-47, Is Accepted:0
Layer: 0, Bt :0.0286217, At: 1, Delta_E: 3.10517, Acceptance Probability: 3.12499e-16, Is Accepted:0
Layer: 0, Bt :0.0254795, At: 1, Delta_E: -3.55222, Acceptance Probability: 8.41134e+19, Is Accepted:1
Layer: 0, Bt :0.0254795, At: 1, Delta_E: 6.57897, Acceptance Probability: 1.25224e-37, Is Accepted:0
